,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Tempurature,Wind Speed,TimeStampt_Coverted
113,gat,84,SN,1567037269,83,14.69,-16.54,27.0,2.1,Wed Aug 28 19:09:18 2019
114,gondanglegi,100,ID,1567037269,84,-7.75,112.01,21.75,2.37,Wed Aug 28 19:09:18 2019
115,bethel,90,US,1567036994,66,60.79,-161.76,13.0,2.1,Wed Aug 28 19:09:18 2019
116,comodoro rivadavia,40,AR,1567037270,39,-45.87,-67.48,10.0,6.7,Wed Aug 28 19:09:18 2019
117,noumea,0,NC,1567037270,50,-22.28,166.46,26.0,4.1,Wed Aug 28 19:09:18 2019
118,san juan,78,AR,1567037270,10,-31.54,-68.53,17.85,3.52,Wed Aug 28 19:09:18 2019
119,port lincoln,8,AU,1567037270,67,-34.72,135.86,11.45,6.85,Wed Aug 28 19:09:18 2019
120,roma,0,IT,1567037213,78,41.89,12.48,24.0,1.0,Wed Aug 28 19:09:18 2019
121,khor,100,RU,1567037271,90,47.88,134.96,18.75,1.75,Wed Aug 28 19:09:18 2019
122,carnarvon,0,ZA,1567037271,41,-30.97,22.13,4.65,3.51,Wed Aug 28 19:09:18 2019
123,kapaa,40,US,1567037222,62,22.08,-159.32,31.0,4.6,Wed Aug 28 19:09:18 2019
124,pajapan,20,MX,1567037271,74,18.26,-94.69,31.0,7.7,Wed Aug 28 19:09:18 2019
125,ribeira grande,17,PT,1567037271,73,38.52,-28.7,20.55,5.11,Wed Aug 28 19:09:18 2019
126,turayf,0,SA,1567037272,35,31.68,38.65,29.0,3.1,Wed Aug 28 19:09:18 2019
127,aksarka,100,RU,1567037272,81,66.56,67.8,4.65,6.27,Wed Aug 28 19:09:18 2019
128,araouane,88,ML,1567037272,40,18.9,-3.53,33.75,1.81,Wed Aug 28 19:09:18 2019
129,prince rupert,1,CA,1567037186,67,54.32,-130.32,17.0,6.2,Wed Aug 28 19:09:18 2019
130,dunedin,100,NZ,1567037131,84,-45.87,170.5,6.11,8.49,Wed Aug 28 19:09:18 2019
131,bela,100,PK,1567037273,60,26.23,66.31,29.65,0.77,Wed Aug 28 19:09:18 2019
132,clyde river,1,CA,1567037273,62,70.47,-68.59,13.0,3.6,Wed Aug 28 19:09:18 2019
133,lebu,69,ET,1567037273,81,8.96,38.73,12.25,1.15,Wed Aug 28 19:09:18 2019
134,salym,100,RU,1567037273,81,60.06,71.48,6.85,1.52,Wed Aug 28 19:09:18 2019
135,mvangue,91,CM,1567037273,99,2.97,11.5,19.65,1.13,Wed Aug 28 19:09:18 2019
136,kapustin yar,8,RU,1567037274,66,48.58,45.77,10.45,4.58,Wed Aug 28 19:09:18 2019
137,sandwick,5,GB,1567037274,93,54.57,-2.89,16.11,4.1,Wed Aug 28 19:09:18 2019
138,belyy yar,40,RU,1567037274,100,53.6,91.39,9.0,1.0,Wed Aug 28 19:09:18 2019
139,bonoua,20,CI,1567037274,94,5.27,-3.6,25.0,2.1,Wed Aug 28 19:09:18 2019
140,wageningen,90,NL,1567037275,82,51.98,5.66,21.11,2.6,Wed Aug 28 19:09:18 2019
141,svetlogorsk,90,RU,1567037275,100,53.14,59.15,9.0,2.0,Wed Aug 28 19:09:18 2019
142,mar del plata,0,AR,1567037254,44,-46.43,-67.52,6.55,8.67,Wed Aug 28 19:09:18 2019
143,elk point,75,CA,1567037275,62,53.9,-110.9,15.0,8.7,Wed Aug 28 19:09:18 2019
144,saint-francois,0,FR,1567037275,73,46.42,3.91,21.0,0.5,Wed Aug 28 19:09:18 2019
145,bubaque,50,GW,1567037276,84,11.28,-15.83,26.55,6.45,Wed Aug 28 19:09:18 2019
146,golden,1,US,1567037276,6,39.76,-105.22,33.0,4.72,Wed Aug 28 19:09:18 2019
147,nanortalik,41,GL,1567037276,89,60.14,-45.24,5.25,1.03,Wed Aug 28 19:09:18 2019
148,severnoye,100,RU,1567037276,77,54.09,52.54,6.95,9.17,Wed Aug 28 19:09:18 2019
149,kaitangata,100,NZ,1567037276,70,-46.28,169.85,8.33,3.13,Wed Aug 28 19:09:18 2019
150,coquimbo,20,CL,1567037249,93,-29.95,-71.34,12.0,3.6,Wed Aug 28 19:09:18 2019
151,gweta,0,BW,1567037277,23,-20.21,25.26,19.45,2.17,Wed Aug 28 19:09:18 2019
152,sola,8,TZ,1567037277,82,-3.17,33.8,18.45,2.97,Wed Aug 28 19:09:18 2019
153,port keats,43,AU,1567037277,19,-14.25,129.55,24.15,8.1,Wed Aug 28 19:09:18 2019
154,yuncheng,0,CN,1567037277,57,35.03,111.0,23.15,3.64,Wed Aug 28 19:09:18 2019
155,sarangani,22,PH,1567037278,74,5.4,125.46,27.25,1.81,Wed Aug 28 19:09:18 2019
156,port hardy,75,CA,1567037278,93,50.7,-127.42,14.0,3.6,Wed Aug 28 19:09:18 2019
157,znamenskoye,86,RU,1567037278,93,57.13,73.82,6.45,1.81,Wed Aug 28 19:09:18 2019
158,taitung,75,TW,1567037278,88,22.76,121.15,28.0,0.5,Wed Aug 28 19:09:18 2019
159,alofi,75,NU,1567037278,74,-19.06,-169.92,26.0,6.7,Wed Aug 28 19:09:18 2019
160,vilhena,95,BR,1567037279,65,-12.74,-60.15,26.0,1.0,Wed Aug 28 19:09:18 2019
161,hofn,99,IS,1567037279,98,64.25,-15.21,2.95,0.64,Wed Aug 28 19:09:18 2019
162,floro,98,NO,1567037279,93,61.6,5.03,16.67,4.1,Wed Aug 28 19:09:18 2019
163,maceio,0,BR,1567037279,78,-9.67,-35.74,22.0,1.0,Wed Aug 28 19:09:18 2019
164,saldanha,0,PT,1567037280,56,41.42,-6.55,21.65,1.39,Wed Aug 28 19:09:18 2019
165,clermont,90,FR,1567037280,88,49.38,2.41,21.11,1.0,Wed Aug 28 19:09:18 2019
166,puerto ayora,0,EC,1567037280,61,-0.74,-90.35,27.0,5.7,Wed Aug 28 19:09:18 2019
167,souillac,0,FR,1567037280,88,45.6,-0.6,17.0,1.5,Wed Aug 28 19:09:18 2019
168,roald,99,NO,1567037280,93,62.58,6.12,17.22,1.5,Wed Aug 28 19:09:18 2019
169,kieta,100,PG,1567037281,75,-6.22,155.63,27.15,1.99,Wed Aug 28 19:09:18 2019
170,tombouctou,96,ML,1567037281,55,16.77,-3.01,29.15,5.18,Wed Aug 28 19:09:18 2019
171,sistranda,40,NO,1567037281,87,63.73,8.83,18.33,4.1,Wed Aug 28 19:09:18 2019
172,flin flon,75,CA,1567037281,51,54.77,-101.88,17.0,1.0,Wed Aug 28 19:09:18 2019
173,waingapu,30,ID,1567037281,73,-9.65,120.26,23.65,5.53,Wed Aug 28 19:09:18 2019
174,yellowknife,40,CA,1567037282,40,62.45,-114.38,20.0,6.2,Wed Aug 28 19:09:18 2019
175,hithadhoo,74,MV,1567037282,76,-0.6,73.08,28.55,5.41,Wed Aug 28 19:09:18 2019
176,bosanski novi,93,BA,1567037102,89,45.05,16.38,18.85,1.26,Wed Aug 28 19:09:18 2019
177,lasa,0,CY,1567037282,73,34.92,32.53,27.0,3.6,Wed Aug 28 19:09:18 2019
178,maniitsoq,0,GL,1567037283,77,65.42,-52.9,7.25,4.34,Wed Aug 28 19:09:18 2019
179,griffith,90,AU,1567037283,81,-34.29,146.06,7.22,3.6,Wed Aug 28 19:09:18 2019
180,chapayeve,0,UA,1567037283,43,49.37,35.87,13.0,4.0,Wed Aug 28 19:09:18 2019
181,lingyuan,62,CN,1567037283,58,41.24,119.4,16.45,7.46,Wed Aug 28 19:09:18 2019
182,mulbagal,98,IN,1567037284,88,13.17,78.4,20.75,4.8,Wed Aug 28 19:09:18 2019
183,yulara,0,AU,1567037284,27,-25.24,130.99,10.0,3.1,Wed Aug 28 19:09:18 2019
184,provideniya,90,RU,1567037239,87,64.42,-173.23,11.0,5.0,Wed Aug 28 19:09:18 2019
185,udachnyy,40,RU,1567037284,87,66.42,112.4,10.0,1.0,Wed Aug 28 19:09:18 2019
186,yerbogachen,0,RU,1567037284,69,61.28,108.01,12.65,1.9,Wed Aug 28 19:09:18 2019
187,karakol,0,KG,1567037285,49,42.49,78.39,15.95,1.84,Wed Aug 28 19:09:18 2019
188,eyrarbakki,90,IS,1567037285,76,63.86,-21.15,10.0,1.5,Wed Aug 28 19:09:18 2019
189,pitimbu,40,BR,1567037285,94,-7.47,-34.81,22.0,2.6,Wed Aug 28 19:09:18 2019
190,guerrero negro,99,MX,1567037285,83,27.97,-114.04,21.55,6.99,Wed Aug 28 19:09:18 2019
191,bernalillo,1,US,1567037285,14,35.3,-106.55,35.0,5.7,Wed Aug 28 19:09:18 2019
192,florianopolis,20,BR,1567037286,88,-27.6,-48.55,19.44,4.6,Wed Aug 28 19:09:18 2019
193,sao miguel do iguacu,0,BR,1567037286,53,-25.35,-54.24,25.0,2.6,Wed Aug 28 19:09:18 2019
194,lufilufi,20,WS,1567037286,70,-13.87,-171.6,31.0,6.7,Wed Aug 28 19:09:18 2019
195,san patricio,0,PY,1567037286,54,-26.98,-56.83,21.95,2.15,Wed Aug 28 19:09:18 2019
196,vardo,90,US,1567037286,94,39.62,-77.74,24.0,0.88,Wed Aug 28 19:09:18 2019
197,narsaq,2,GL,1567037287,66,60.91,-46.05,10.0,2.6,Wed Aug 28 19:09:18 2019
198,kruisfontein,0,ZA,1567037278,75,-34.0,24.73,6.65,2.82,Wed Aug 28 19:09:18 2019
199,kurush,40,RU,1567037287,77,41.28,47.83,19.0,2.6,Wed Aug 28 19:09:18 2019
200,svetlaya,99,RU,1567037287,91,46.54,138.33,16.15,1.62,Wed Aug 28 19:09:18 2019
201,mildura,0,AU,1567037288,75,-34.18,142.16,8.33,3.6,Wed Aug 28 19:09:18 2019
202,quatre cocos,75,MU,1567037288,73,-20.21,57.76,21.0,6.2,Wed Aug 28 19:09:18 2019
203,araceli,100,PH,1567037288,89,10.55,119.99,26.05,3.35,Wed Aug 28 19:09:18 2019
204,flagstaff,1,US,1567037288,30,35.2,-111.65,35.56,3.12,Wed Aug 28 19:09:18 2019
205,kinablangan,100,PH,1567037289,71,7.69,126.55,26.25,0.48,Wed Aug 28 19:09:18 2019
206,stryn,96,NO,1567037289,96,61.9,6.72,17.22,1.31,Wed Aug 28 19:09:18 2019
207,saint george,0,GR,1567037289,43,39.45,22.34,23.0,0.26,Wed Aug 28 19:09:18 2019
208,isangel,40,VU,1567037289,61,-19.55,169.27,28.0,5.1,Wed Aug 28 19:09:18 2019
209,westport,90,US,1567037202,94,41.14,-73.36,22.0,3.1,Wed Aug 28 19:09:18 2019
210,faya,0,SA,1567037290,68,18.39,42.45,20.0,2.1,Wed Aug 28 19:09:18 2019
211,trinidad,40,BO,1567037290,58,-14.83,-64.9,28.0,1.22,Wed Aug 28 19:09:18 2019
212,isla mujeres,40,MX,1567037290,70,21.23,-86.73,30.0,3.6,Wed Aug 28 19:09:18 2019
213,avera,1,US,1567037290,78,33.19,-82.53,31.0,0.52,Wed Aug 28 19:09:18 2019
214,fagundes,0,BR,1567037291,88,-7.36,-35.78,20.0,5.1,Wed Aug 28 19:09:18 2019
215,dakar,87,SN,1567037291,83,14.69,-17.45,28.0,2.1,Wed Aug 28 19:09:18 2019
216,elko,20,US,1567037144,9,40.83,-115.76,36.0,2.6,Wed Aug 28 19:09:18 2019
217,ahmadpur east,42,PK,1567037291,45,29.14,71.26,33.15,1.74,Wed Aug 28 19:09:18 2019
218,kysyl-syr,40,RU,1567037291,74,63.9,122.77,15.25,1.48,Wed Aug 28 19:09:18 2019
219,albanel,75,CA,1567037292,93,48.88,-72.44,19.44,2.6,Wed Aug 28 19:09:18 2019
220,bilibino,100,RU,1567037292,92,68.06,166.44,4.05,0.77,Wed Aug 28 19:09:18 2019
221,mount gambier,75,AU,1567037032,87,-37.83,140.78,8.0,2.1,Wed Aug 28 19:09:18 2019
222,bilma,47,NE,1567037292,28,18.69,12.92,33.45,3.2,Wed Aug 28 19:09:18 2019
223,rodrigues alves,0,BR,1567037292,88,-7.74,-72.65,24.0,1.0,Wed Aug 28 19:09:18 2019
